id;logo_path;name;origin_country;movie_id
58;/voYCwlBHJQANtjvm5MNIkCF1dDH.png;Sony Pictures Classics;US;146
10284;;EDKO Films;HK;146
53;/3cWJikm9MdWCMKdatuk8gDTa5xy.png;Les Films du Carrosse;FR;147
10897;;Sédif Productions;FR;147
78;/ngEvKlaMsDQBlbK7eDZ6RncCErb.png;Hotshot Films;RU;148
3363;/sj3vD7n63bTCih7bcf6GnWvRf1Q.png;MBS;JP;149
10921;/mILVV3xSs3BOkXy85l1pXakLoKk.png;Sumitomo Corporation;JP;149
882;/iDw9Xxok1d9WAM2zFicI8p3khTH.png;TOHO;JP;149
104680;;Studio Fuga;JP;149
5805;/jiTDwr7CelkRTSJt8or6WipN75c.png;Studio Aoi;JP;149
59118;/9nTCEBgGaaI5swkv8gy2vny0Mb5.png;Kodansha;JP;149
120107;;Bandai Entertainment;JP;149
3069;/tpGaXEBassYaiEBvnJ7K5vchT50.png;Tokyo Movie Shinsha;JP;149
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;150
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;152
70;/ueaENQkPcy8rlr5fGZVBXKOhlBh.png;American Zoetrope;US;153
10146;/xnFIOeq5cKw09kCWqV7foWDe4AA.png;Focus Features;US;153
1780;/jdnvUiU7I3Uf2ig0VZNNjf0ORRL.png;Tohokushinsha Film Corporation;JP;153
113241;/5VTEPsdFToSv89HyCtUTAElsnQk.png;Elemental Films;GB;153
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;154
429;/2Tc1P3Ac8M479naPp1kYT3izLS5.png;DC Comics;US;155
923;/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png;Legendary Pictures;US;155
9996;/3tvBqYsBhxWeHlu62SIJ1el93O7.png;Syncopy;GB;155
118865;;Isobel Griffiths;GB;155
174;/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png;Warner Bros. Pictures;US;155
223;/pdthRbCuXNlrGNwnmLFRxv5Zy3t.png;Les Films du Losange;FR;156
